gene	mean_expr	CV	log2FC	padj	description
g13481	2446.9	0.0664	0.023	0.9823	sp|Q9LT02|PDR2_ARATH Probable manganese-transporting ATPase PDR2 OS=Arabidopsis thaliana OX=3702 GN=PDR2 PE=1 SV=1
g7155	2687.0	0.1058	-0.200	0.7135	
g4401	2869.4	0.1390	0.167	0.8333	sp|Q9FWQ5|HAC12_ARATH Histone acetyltransferase HAC12 OS=Arabidopsis thaliana OX=3702 GN=HAC12 PE=3 SV=2
g2767	3512.8	0.2451	-0.556	0.1623	
g9191	5664.6	0.6055	0.410	0.1263	sp|A0A1B3PEI8|PFA2_THRS2 Polyunsaturated fatty acid synthase subunit B OS=Thraustochytrium sp. (strain ATCC 26185 / S-3) OX=672127 GN=ORF-B PE=1 SV=1
g5783	3754.3	0.2920	0.354	0.4462	sp|Q01890|YPT1_PHYIN Ras-like GTP-binding protein YPT1 OS=Phytophthora infestans OX=4787 GN=YPT1 PE=3 SV=1
g11065	3640.7	0.2734	0.182	0.7844	sp|Q6QNM1|KC1_TOXGO Casein kinase I OS=Toxoplasma gondii OX=5811 PE=2 SV=1
g10413	2296.5	0.0535	0.096	0.9058	sp|Q92I02|TRXB_RICCN Thioredoxin reductase OS=Rickettsia conorii (strain ATCC VR-613 / Malish 7) OX=272944 GN=trxB PE=3 SV=1
g4452	3538.8	0.2655	0.607	0.1364	
g10572	2879.5	0.1578	0.306	0.5059	sp|Q8RVL2|DEK1_ARATH Calpain-type cysteine protease DEK1 OS=Arabidopsis thaliana OX=3702 GN=DEK1 PE=1 SV=1
g3691	3486.9	0.2627	0.414	0.1681	sp|Q5FXM5|ACBP_DICDI Acyl-CoA-binding protein OS=Dictyostelium discoideum OX=44689 GN=acbA PE=1 SV=1
g10398	3683.2	0.2983	0.356	0.6289	sp|B8B9K6|R10A_ORYSI Large ribosomal subunit protein uL1 OS=Oryza sativa subsp. indica OX=39946 GN=RPL10A PE=3 SV=1
g9882	3547.5	0.2760	0.083	0.9155	sp|Q8H0T5|ERF73_ARATH Ethylene-responsive transcription factor ERF073 OS=Arabidopsis thaliana OX=3702 GN=ERF073 PE=1 SV=2
g12614	2447.9	0.0885	0.113	0.8826	sp|Q6E7F1|FCF2_ECOLX dTDP-fucopyranose mutase OS=Escherichia coli OX=562 GN=fcf2 PE=1 SV=1
g11730	3367.9	0.2506	-0.091	0.9178	sp|Q9SH69|6PGD1_ARATH 6-phosphogluconate dehydrogenase, decarboxylating 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PGD1 PE=1 SV=1
g5315	3217.7	0.2261	-0.336	0.5751	sp|P55010|IF5_HUMAN Eukaryotic translation initiation factor 5 OS=Homo sapiens OX=9606 GN=EIF5 PE=1 SV=2
g15001	3271.0	0.2362	-0.477	0.1192	
g2694	3047.7	0.1978	-0.354	0.4700	sp|Q71UH5|CALM_GLOSP Calmodulin OS=Globisporangium splendens OX=82926 PE=2 SV=1
g2258	2609.3	0.1234	0.133	0.8564	sp|Q17046|VATL_ASCSU V-type proton ATPase 16 kDa proteolipid subunit c OS=Ascaris suum OX=6253 GN=12 PE=3 SV=1
g6005	5201.6	0.5815	-0.383	0.3285	sp|O95436|NPT2B_HUMAN Sodium-dependent phosphate transport protein 2B OS=Homo sapiens OX=9606 GN=SLC34A2 PE=1 SV=3
g11501	2417.3	0.0933	0.080	0.9225	sp|Q9LTW0|ALIS1_ARATH ALA-interacting subunit 1 OS=Arabidopsis thaliana OX=3702 GN=ALIS1 PE=1 SV=1
g14927	6472.7	0.8117	0.191	0.9609	sp|P39692|MET10_YEAST Sulfite reductase [NADPH] flavoprotein component OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET10 PE=1 SV=2
g7211	2169.6	0.0523	0.075	0.9343	sp|Q9LI83|ALA10_ARATH Phospholipid-transporting ATPase 10 OS=Arabidopsis thaliana OX=3702 GN=ALA10 PE=3 SV=1
g10498	4321.7	0.4365	-0.154	0.9275	
g13864	3138.1	0.2262	0.374	0.4048	sp|Q9LMX4|PPA1_ARATH Probable inactive purple acid phosphatase 1 OS=Arabidopsis thaliana OX=3702 GN=PAP1 PE=2 SV=1
g12963	3140.9	0.2274	0.230	0.7825	sp|A8HS48|RS3A_CHLRE Small ribosomal subunit protein eS1 OS=Chlamydomonas reinhardtii OX=3055 GN=CHLREDRAFT_168484 PE=3 SV=1
g12123	3458.0	0.2899	-0.579	0.0658	sp|E2JA31|DDAF_ENTAG Dapdiamide A synthase OS=Enterobacter agglomerans OX=549 GN=ddaF PE=1 SV=1
g2250	3892.2	0.3731	0.599	0.1329	sp|Q9HGM3|YTA12_SCHPO Mitochondrial inner membrane m-AAA protease component yta12 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=yta12 PE=3 SV=1
g5251	4209.4	0.4367	-0.179	0.7811	sp|Q9X2A1|ASSY_THEMA Argininosuccinate synthase OS=Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274 GN=argG PE=1 SV=1
g16043	3122.2	0.2401	-0.092	0.9099	sp|P38674|ILV5_NEUCR Ketol-acid reductoisomerase, mitochondrial OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=ilv-2 PE=3 SV=2
g14644	2470.9	0.1220	-0.169	0.7729	sp|O75352|MPU1_HUMAN Mannose-P-dolichol utilization defect 1 protein OS=Homo sapiens OX=9606 GN=MPDU1 PE=1 SV=2
g6844	3353.4	0.2848	0.046	0.9614	sp|P80480|SDHB_RECAM Succinate dehydrogenase [ubiquinone] iron-sulfur subunit OS=Reclinomonas americana OX=48483 GN=SDH2 PE=3 SV=1
g402	2925.7	0.2075	0.193	0.8119	
g159	3391.5	0.2946	0.303	0.5026	
g8539	5132.9	0.6216	0.433	0.5931	sp|Q94AN4|AP2L1_ARATH AP2-like ethylene-responsive transcription factor At1g16060 OS=Arabidopsis thaliana OX=3702 GN=At1g16060 PE=2 SV=1
g7486	2427.1	0.1201	-0.175	0.7746	sp|P56336|IF5A4_SOLTU Eukaryotic translation initiation factor 5A-4 OS=Solanum tuberosum OX=4113 GN=EIF5A4 PE=2 SV=1
g7595	2558.4	0.1507	-0.140	0.8562	sp|A2RVM0|TIC32_ARATH Short-chain dehydrogenase TIC 32, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIC32 PE=2 SV=1
g9762	3123.5	0.2595	0.285	0.6269	sp|Q9H8M5|CNNM2_HUMAN Metal transporter CNNM2 OS=Homo sapiens OX=9606 GN=CNNM2 PE=1 SV=2
g10475	2235.6	0.0932	-0.131	0.8713	sp|Q6WWW4|UPL3_ARATH E3 ubiquitin-protein ligase UPL3 OS=Arabidopsis thaliana OX=3702 GN=UPL3 PE=1 SV=1
g9147	2142.1	0.0788	0.182	0.7495	sp|Q9SAJ7|MTP9_ARATH Metal tolerance protein 9 OS=Arabidopsis thaliana OX=3702 GN=MTP9 PE=3 SV=2
g235	3466.4	0.3378	0.522	0.1182	sp|Q3ZCF5|OAT_BOVIN Ornithine aminotransferase, mitochondrial OS=Bos taurus OX=9913 GN=OAT PE=2 SV=1
g12838	2942.1	0.2364	-0.220	0.8406	
g3039	2743.0	0.1985	-0.483	0.0603	sp|P29677|MPPA_SOLTU Mitochondrial-processing peptidase subunit alpha OS=Solanum tuberosum OX=4113 GN=MPP PE=1 SV=1
g12563	2783.4	0.2096	-0.159	0.8364	
g6671	4564.4	0.5607	0.330	0.4174	
g14185	4016.6	0.4558	0.151	0.8797	
g2115	2406.0	0.1399	0.160	0.8302	sp|Q09764|VSB1_SCHPO Vacuolar basic amino acid transporter vsb1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=vsb1 PE=1 SV=1
g5785	2408.7	0.1405	0.297	0.4448	sp|Q84L08|GFT1_ARATH GDP-fucose transporter 1 OS=Arabidopsis thaliana OX=3702 GN=GFT1 PE=1 SV=1
g10356	3199.6	0.3038	-0.568	0.0541	sp|Q9R9J1|MYCA_BACIU Mycosubtilin synthase subunit A OS=Bacillus subtilis OX=1423 GN=mycA PE=1 SV=1
g7796	2797.7	0.2251	-0.552	0.1790	sp|Q4PMB3|RS4_IXOSC Small ribosomal subunit protein eS4 OS=Ixodes scapularis OX=6945 GN=RpS4 PE=2 SV=1
g278	2311.9	0.1328	-0.248	0.6153	sp|Q9P4E9|GSP1_CANAW GTP-binding nuclear protein GSP1/Ran OS=Candida albicans (strain WO-1) OX=294748 GN=GSP1 PE=3 SV=2
g16053	2635.3	0.2016	0.306	0.5221	sp|H1VPS8|PHB1_COLHI Prohibitin-1 OS=Colletotrichum higginsianum (strain IMI 349063) OX=759273 GN=PHB1 PE=1 SV=1
g7687	2964.9	0.2687	0.239	0.6405	sp|A0A0D1C6P2|CNE1_MYCMD Calnexin (Fragment) OS=Mycosarcoma maydis OX=5270 GN=CNE1 PE=1 SV=1
g1625	2903.2	0.2582	0.266	0.5676	sp|P51133|UCRI3_TOBAC Cytochrome b-c1 complex subunit Rieske-3, mitochondrial OS=Nicotiana tabacum OX=4097 PE=2 SV=1
g10764	2245.7	0.1271	-0.147	0.8418	sp|P34145|RAC1B_DICDI Rho-related protein rac1B OS=Dictyostelium discoideum OX=44689 GN=rac1B PE=1 SV=2
g11940	2188.4	0.1163	0.140	0.8563	
g13028	2250.5	0.1341	0.103	0.9138	
g14254	2913.5	0.2726	0.114	0.8777	sp|Q38799|ODPB1_ARATH Pyruvate dehydrogenase E1 component subunit beta-1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PDH2 PE=1 SV=2
g7420	3398.1	0.3757	-0.184	0.8352	sp|Q2RQU6|EFTU2_RHORT Elongation factor Tu 2 OS=Rhodospirillum rubrum (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG 4362 / NCIMB 8255 / S1) OX=269796 GN=tuf2 PE=3 SV=1
g5470	2584.8	0.2066	0.071	0.9461	sp|P35681|TCTP_ORYSJ Translationally-controlled tumor protein homolog OS=Oryza sativa subsp. japonica OX=39947 GN=TCTP PE=1 SV=1
g3821	3163.0	0.3308	0.132	0.9138	sp|P31009|RS2_DROME Small ribosomal subunit protein uS5 OS=Drosophila melanogaster OX=7227 GN=RpS2 PE=1 SV=2
g10554	2153.3	0.1191	-0.214	0.7382	sp|F4JC97|PSME4_ARATH Proteasome activator subunit 4 OS=Arabidopsis thaliana OX=3702 GN=PA200 PE=2 SV=2
g11195	2341.8	0.1589	0.422	0.1243	sp|P50429|ARSB_MOUSE Arylsulfatase B OS=Mus musculus OX=10090 GN=Arsb PE=1 SV=3
g9603	2560.8	0.2057	0.079	0.9499	sp|Q4KKX4|NCOR1_XENTR Nuclear receptor corepressor 1 OS=Xenopus tropicalis OX=8364 GN=ncor1 PE=2 SV=1
g7685	2038.8	0.0962	-0.029	0.9740	sp|Q5A4W8|BDF1_CANAL Bromodomain-containing factor 1 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=BDF1 PE=1 SV=1
g1748	2264.9	0.1463	-0.169	0.7713	
g995	2624.2	0.2226	0.215	0.7220	sp|P18616|NRPB1_ARATH DNA-directed RNA polymerase II subunit RPB1 OS=Arabidopsis thaliana OX=3702 GN=NRPB1 PE=1 SV=3
g4938	3225.0	0.3499	0.417	0.2938	sp|B0TJA0|TAL_SHEHH Transaldolase OS=Shewanella halifaxensis (strain HAW-EB4) OX=458817 GN=tal PE=3 SV=1
g12779	2029.9	0.0975	-0.026	0.9811	
g3954	1780.0	0.0460	-0.074	0.9350	sp|O48844|PSD1A_ARATH 26S proteasome non-ATPase regulatory subunit 1 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPN2A PE=1 SV=1
g5200	1952.6	0.0835	0.020	0.9848	sp|Q08759|MYB_XENLA Transcriptional activator Myb OS=Xenopus laevis OX=8355 GN=myb PE=2 SV=1
g9094	2159.9	0.1285	0.077	0.9433	sp|Q7X9V2|PIE1_ARATH Protein PHOTOPERIOD-INDEPENDENT EARLY FLOWERING 1 OS=Arabidopsis thaliana OX=3702 GN=PIE1 PE=1 SV=1
g9184	2091.1	0.1140	-0.106	0.9165	sp|Q8L7K0|R18A4_ARATH Large ribosomal subunit protein eL20w OS=Arabidopsis thaliana OX=3702 GN=RPL18AD PE=2 SV=1
g3665	2643.2	0.2328	0.061	0.9610	sp|Q6C9B1|ATPO_YARLI ATP synthase subunit 5, mitochondrial OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=ATP5 PE=1 SV=2
g1531	2653.1	0.2355	0.284	0.6150	sp|Q9ZVI9|PECT1_ARATH Ethanolamine-phosphate cytidylyltransferase OS=Arabidopsis thaliana OX=3702 GN=PECT1 PE=1 SV=1
g4621	2959.1	0.3014	-0.286	0.4316	sp|Q94FB9|AB1D_ARATH ABC transporter D family member 1 OS=Arabidopsis thaliana OX=3702 GN=ABCD1 PE=1 SV=1
g6600	2058.7	0.1108	0.124	0.8564	sp|B2GUB3|TTLL3_XENTR Tubulin tyrosine ligase 3 OS=Xenopus tropicalis OX=8364 GN=ttll3 PE=1 SV=1
g2418	2983.8	0.3124	-0.047	0.9689	
g69	2528.1	0.2140	0.050	0.9702	
g8460	3261.3	0.3752	-0.076	0.9370	sp|Q9SAA9|CP511_ARATH Sterol 14-demethylase OS=Arabidopsis thaliana OX=3702 GN=CYP51G1 PE=1 SV=1
g6359	4014.5	0.5390	-0.170	0.8000	sp|P28297|ACEA_ARATH Isocitrate lyase OS=Arabidopsis thaliana OX=3702 GN=ICL PE=1 SV=2
g3711	2042.4	0.1108	0.163	0.8153	sp|Q962T2|RL28_SPOFR Large ribosomal subunit protein eL28 OS=Spodoptera frugiperda OX=7108 GN=RpL28 PE=2 SV=1
g14354	2472.4	0.2073	0.169	0.7825	sp|Q09996|SYLC_CAEEL Leucine--tRNA ligase OS=Caenorhabditis elegans OX=6239 GN=lars-1 PE=3 SV=2
g13137	2530.7	0.2205	0.355	0.5240	sp|P47920|NDKB_FLABI Nucleoside diphosphate kinase B OS=Flaveria bidentis OX=4224 PE=2 SV=1
g2342	2819.2	0.2841	0.305	0.5186	sp|F4K2M8|JMJ31_ARATH Lysine-specific demethylase JMJ31 OS=Arabidopsis thaliana OX=3702 GN=JMJ31 PE=2 SV=1
g2723	2102.9	0.1276	0.203	0.6939	
g12052	2526.3	0.2205	-0.364	0.2617	sp|Q94A40|COPA1_ARATH Coatomer subunit alpha-1 OS=Arabidopsis thaliana OX=3702 GN=At1g62020 PE=2 SV=2
g9455	2894.3	0.3020	0.433	0.1113	sp|Q6R0H1|LHY_ARATH Protein LHY OS=Arabidopsis thaliana OX=3702 GN=LHY PE=1 SV=2
g15499	2171.1	0.1465	0.073	0.9504	
g1949	2197.5	0.1523	-0.374	0.2513	
g13328	2756.2	0.2779	-0.332	0.5317	sp|Q9LD55|EIF3A_ARATH Eukaryotic translation initiation factor 3 subunit A OS=Arabidopsis thaliana OX=3702 GN=TIF3A1 PE=1 SV=1
g3381	2172.9	0.1501	-0.209	0.7105	sp|Q9SF40|RL4A_ARATH Large ribosomal subunit protein uL4z OS=Arabidopsis thaliana OX=3702 GN=RPL4A PE=1 SV=1
g13553	4792.7	0.7351	0.828	0.0694	
g13719	2624.0	0.2518	-0.289	0.4135	sp|Q9FNN5|NDUV1_ARATH NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At5g08530 PE=1 SV=1
g13587	1941.3	0.1003	-0.151	0.8127	sp|P46978|STT3A_MOUSE Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Mus musculus OX=10090 GN=Stt3a PE=1 SV=1
g10592	2437.7	0.2145	0.175	0.8585	sp|Q8LQJ8|FTSH5_ORYSJ ATP-dependent zinc metalloprotease FTSH 5, mitochondrial OS=Oryza sativa subsp. japonica OX=39947 GN=FTSH5 PE=3 SV=1
g14881	1862.5	0.0857	0.160	0.8153	sp|Q5XLY0|ANR_GINBI Putative anthocyanidin reductase OS=Ginkgo biloba OX=3311 PE=2 SV=1
g9761	2344.3	0.1943	0.319	0.5771	sp|Q3T0V4|RS11_BOVIN Small ribosomal subunit protein uS17 OS=Bos taurus OX=9913 GN=RPS11 PE=2 SV=3
g8380	2894.3	0.3188	-0.675	0.1497	
g11517	1873.4	0.0898	0.121	0.8704	sp|Q8L611|SC31B_ARATH Protein transport protein SEC31 homolog B OS=Arabidopsis thaliana OX=3702 GN=SEC31B PE=1 SV=1
g3282	2128.0	0.1503	0.309	0.4238	
g9843	2157.8	0.1593	0.380	0.1964	sp|Q5ZLT0|XPO7_CHICK Exportin-7 OS=Gallus gallus OX=9031 GN=XPO7 PE=2 SV=1
g14665	2126.2	0.1528	-0.105	0.8888	sp|Q8TB61|S35B2_HUMAN Adenosine 3'-phospho 5'-phosphosulfate transporter 1 OS=Homo sapiens OX=9606 GN=SLC35B2 PE=1 SV=1
g15302	3431.3	0.4524	0.555	0.1038	sp|Q94738|HSP97_MESFR 97 kDa heat shock protein OS=Mesocentrotus franciscanus OX=1328066 GN=HSP110 PE=2 SV=1
g7001	1859.9	0.0930	-0.133	0.8585	sp|P22684|RLA1_DICDI Large ribosomal subunit protein P1 OS=Dictyostelium discoideum OX=44689 GN=rplp1 PE=3 SV=1
g10053	2114.5	0.1521	-0.093	0.9323	sp|Q7G8Y3|ISW2_ORYSJ Probable chromatin-remodeling complex ATPase chain OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0367900 PE=2 SV=2
g12628	2427.6	0.2260	0.242	0.7282	sp|O76190|RL5_BOMMO Large ribosomal subunit protein uL18 OS=Bombyx mori OX=7091 GN=RpL5 PE=2 SV=1
g6642	1893.0	0.1037	-0.275	0.4947	sp|Q5JK84|RH15_ORYSJ DEAD-box ATP-dependent RNA helicase 15 OS=Oryza sativa subsp. japonica OX=39947 GN=AIP2 PE=1 SV=1
g699	2504.2	0.2464	-0.241	0.6244	
g7110	1989.2	0.1288	0.070	0.9509	sp|P49210|RL9_ORYSJ Large ribosomal subunit protein uL6 OS=Oryza sativa subsp. japonica OX=39947 GN=RPL9 PE=2 SV=3
g3404	2783.1	0.3147	0.544	0.3282	sp|Q0JHU7|MB3R2_ORYSJ Transcription factor MYB3R-2 OS=Oryza sativa subsp. japonica OX=39947 GN=MYB3R-2 PE=2 SV=1
g13131	2394.6	0.2253	-0.076	0.9584	sp|A2AJK6|CHD7_MOUSE ATP-dependent chromatin remodeler CHD7 OS=Mus musculus OX=10090 GN=Chd7 PE=1 SV=1
g3167	1910.8	0.1131	0.163	0.8137	sp|Q9SGH2|MBD9_ARATH Methyl-CpG-binding domain-containing protein 9 OS=Arabidopsis thaliana OX=3702 GN=MBD9 PE=2 SV=1
g7317	2180.2	0.1784	-0.056	0.9621	sp|Q921C3|BRWD1_MOUSE Bromodomain and WD repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Brwd1 PE=1 SV=2
g2279	1818.4	0.0941	0.185	0.7463	sp|A4IIS8|S47A1_XENTR Multidrug and toxin extrusion protein 1 OS=Xenopus tropicalis OX=8364 GN=slc47a1 PE=2 SV=1
g12128	2237.2	0.1931	-0.507	0.1328	sp|Q9LDU6|ST7R_ARATH 7-dehydrocholesterol reductase OS=Arabidopsis thaliana OX=3702 GN=DWF5 PE=1 SV=1
g7903	2234.4	0.1948	-0.197	0.7976	sp|O32210|GR_BACSU Glyoxal reductase OS=Bacillus subtilis (strain 168) OX=224308 GN=yvgN PE=1 SV=1
g9654	2205.1	0.1879	-0.417	0.1487	sp|A2AJK6|CHD7_MOUSE ATP-dependent chromatin remodeler CHD7 OS=Mus musculus OX=10090 GN=Chd7 PE=1 SV=1
g4481	2470.4	0.2507	-0.100	0.9041	sp|Q8H715|ATG8_PHYIN Autophagy-related protein 8 OS=Phytophthora infestans OX=4787 GN=ATG8 PE=3 SV=1
g5630	2070.6	0.1568	0.233	0.6305	sp|Q8IRW8|TRR_DROME Histone-lysine N-methyltransferase trr OS=Drosophila melanogaster OX=7227 GN=trr PE=1 SV=2
g10111	2363.5	0.2264	-0.122	0.8758	sp|Q6NCX7|GPMI_RHOPA 2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=gpmI PE=3 SV=1
g15935	2211.3	0.1918	-0.150	0.8571	
g10737	2034.6	0.1503	0.385	0.2765	sp|Q42510|GNOM_ARATH ARF guanine-nucleotide exchange factor GNOM OS=Arabidopsis thaliana OX=3702 GN=GN PE=1 SV=1
g9355	2492.0	0.2598	0.287	0.4547	
g5686	2005.4	0.1449	0.264	0.6249	sp|Q15751|HERC1_HUMAN Probable E3 ubiquitin-protein ligase HERC1 OS=Homo sapiens OX=9606 GN=HERC1 PE=1 SV=2
g11348	2568.5	0.2807	0.432	0.5084	sp|P41352|TBB_TETTH Tubulin beta chain OS=Tetrahymena thermophila OX=5911 GN=BTU1 PE=1 SV=1
g15404	1864.5	0.1135	0.093	0.9138	sp|P40383|XRN1_SCHPO 5'-3' exoribonuclease 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=exo2 PE=1 SV=1
g11484	1770.8	0.0917	-0.110	0.8910	
g11416	2466.4	0.2604	-0.502	0.0664	sp|G0S8G9|IF2P_THET3 Eukaryotic translation initiation factor 5B OS=Thermochaetoides thermophila (strain DSM 1495 / CBS 144.50 / DAOM 24625 / IMI 039719) OX=759272 GN=CTHT_0029840 PE=1 SV=2
g14736	2556.1	0.2823	0.022	0.9851	
g15066	1852.3	0.1130	0.093	0.9230	sp|Q55DR6|FCSA_DICDI Fatty acyl-CoA synthetase A OS=Dictyostelium discoideum OX=44689 GN=fcsA PE=1 SV=1
g5237	2059.0	0.1633	0.387	0.3589	
g10212	2058.6	0.1639	-0.042	0.9714	
g1220	2006.4	0.1514	-0.222	0.7488	sp|Q8BKU8|TM87B_MOUSE Transmembrane protein 87B OS=Mus musculus OX=10090 GN=Tmem87b PE=2 SV=1
g14243	3005.8	0.3950	-0.236	0.6756	sp|P40939|ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2
g4334	2065.7	0.1681	0.226	0.7581	sp|P43644|DNJH_ATRNU DnaJ protein homolog ANJ1 OS=Atriplex nummularia OX=3553 PE=2 SV=1
g1479	2079.6	0.1718	0.485	0.0757	sp|Q08189|TGM3_MOUSE Protein-glutamine gamma-glutamyltransferase E OS=Mus musculus OX=10090 GN=Tgm3 PE=1 SV=2
g8481	2269.3	0.2181	0.234	0.7271	sp|Q90YR8|RS6_ICTPU Small ribosomal subunit protein eS6 OS=Ictalurus punctatus OX=7998 GN=rps6 PE=2 SV=1
g4202	2998.3	0.3958	-0.296	0.6652	
g6395	2275.3	0.2207	0.034	0.9803	sp|B1MHQ0|MSHA_MYCA9 D-inositol 3-phosphate glycosyltransferase OS=Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CCUG 20993 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543 / L948) OX=561007 GN=mshA PE=3 SV=1
g665	1635.2	0.0665	0.060	0.9482	sp|Q5R7K6|EMC1_PONAB ER membrane protein complex subunit 1 OS=Pongo abelii OX=9601 GN=EMC1 PE=2 SV=1
g5058	2091.2	0.1790	0.008	0.9926	sp|F4JLM5|SYIC_ARATH Isoleucine--tRNA ligase, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=At4g10320 PE=2 SV=1
g5565	2438.9	0.2661	-0.420	0.2866	sp|Q767L0|ABCF1_PIG ATP-binding cassette sub-family F member 1 OS=Sus scrofa OX=9823 GN=ABCF1 PE=3 SV=1
g3243	1926.6	0.1408	-0.342	0.3531	sp|Q91W90|TXND5_MOUSE Thioredoxin domain-containing protein 5 OS=Mus musculus OX=10090 GN=Txndc5 PE=1 SV=2
g7344	2488.5	0.2793	0.268	0.7391	
g3935	1992.8	0.1637	0.307	0.5356	sp|Q6L5G1|C3H39_ORYSJ Zinc finger CCCH domain-containing protein 39 OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0576300 PE=2 SV=1
g14723	2355.3	0.2552	0.034	0.9689	sp|O13755|OSM1_SCHPO Fumarate reductase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=osm1 PE=3 SV=1
g11554	2131.8	0.2005	-0.257	0.5691	
g10035	1664.9	0.0842	-0.210	0.6662	sp|Q5ZKR7|ACBG2_CHICK Long-chain-fatty-acid--CoA ligase ACSBG2 OS=Gallus gallus OX=9031 GN=ACSBG2 PE=2 SV=2
g1332	1913.6	0.1466	-0.238	0.6532	sp|P79010|COX4_SCHPO Cytochrome c oxidase subunit 4, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cox4 PE=1 SV=1
g14899	2034.0	0.1770	-0.266	0.5946	sp|Q24537|HMG2_DROME High mobility group protein DSP1 OS=Drosophila melanogaster OX=7227 GN=Dsp1 PE=2 SV=1
g2301	4758.2	0.8634	0.954	0.1472	sp|P0C872|JMJD7_MOUSE Bifunctional peptidase and (3S)-lysyl hydroxylase Jmjd7 OS=Mus musculus OX=10090 GN=Jmjd7 PE=1 SV=1
g14101	1837.7	0.1291	0.119	0.9112	sp|Q8K4Y7|CANT1_RAT Soluble calcium-activated nucleotidase 1 OS=Rattus norvegicus OX=10116 GN=Cant1 PE=1 SV=1
g5869	2511.2	0.3038	-0.235	0.6642	sp|Q01474|SAR1B_ARATH Small COPII coat GTPase SAR1B OS=Arabidopsis thaliana OX=3702 GN=SAR1B PE=1 SV=1
g10374	2408.6	0.2779	0.536	0.0690	sp|Q87GU5|LUXQ_VIBPA Autoinducer 2 sensor kinase/phosphatase LuxQ OS=Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633) OX=223926 GN=luxQ PE=3 SV=1
g2810	1759.2	0.1132	-0.262	0.5276	
g1975	1867.4	0.1409	0.039	0.9740	sp|Q62141|SIN3B_MOUSE Paired amphipathic helix protein Sin3b OS=Mus musculus OX=10090 GN=Sin3b PE=1 SV=2
g13101	1746.9	0.1105	0.206	0.7344	sp|Q58DW3|RL29_BOVIN Large ribosomal subunit protein eL29 OS=Bos taurus OX=9913 GN=RPL29 PE=2 SV=3
g15500	2077.3	0.1949	-0.010	0.9901	sp|B7KJX8|LEU1_GLOC7 2-isopropylmalate synthase OS=Gloeothece citriformis (strain PCC 7424) OX=65393 GN=leuA PE=3 SV=1
g12078	2416.4	0.2818	-0.322	0.6406	
g9786	2409.0	0.2807	-0.139	0.8162	sp|P50433|GLYM_SOLTU Serine hydroxymethyltransferase, mitochondrial OS=Solanum tuberosum OX=4113 PE=2 SV=1
g1813	2000.9	0.1773	-0.044	0.9689	sp|Q8WQI5|RS8_SPOFR Small ribosomal subunit protein eS8 OS=Spodoptera frugiperda OX=7108 GN=RpS8 PE=2 SV=1
g1914	1959.7	0.1689	0.369	0.4223	sp|F8VPU6|USP9Y_MOUSE Ubiquitin carboxyl-terminal hydrolase 9Y OS=Mus musculus OX=10090 GN=Usp9y PE=2 SV=1
g8634	2233.4	0.2399	0.322	0.6652	sp|P62302|RS13_SOYBN Small ribosomal subunit protein uS15 OS=Glycine max OX=3847 GN=RPS13 PE=2 SV=1
g14089	2168.7	0.2252	-0.473	0.1000	
g8381	2034.6	0.1909	-0.221	0.7901	sp|A0A0R4I9Y1|R213B_DANRE E3 ubiquitin-protein ligase rnf213-beta OS=Danio rerio OX=7955 GN=rnf213b PE=3 SV=1
