gene	scaf	strand	n_exons	n_introns	utr5_start	utr5_end	utr5_len	utr3_start	utr3_end	utr3_len	n_utr5_introns	first_intron_start	first_intron_end
g9909	Scaffolds_26	-	4	3	676637	677744	1108			0	0	675790	675871
g13937	Scaffolds_4	-	1	0			0			0	0		
g13599	Scaffolds_33	+	1	0			0	3082163	3082345	183	0		
g6214	Scaffolds_2	-	1	0			0			0	0		
g3242	Scaffolds_15	+	1	0			0			0	0		
g5046	Scaffolds_18	+	1	0			0			0	0		
g6511	Scaffolds_20	-	6	5			0			0	0	300990	301174
g7264	Scaffolds_21	+	1	0			0			0	0		
g14250	Scaffolds_4	+	1	0			0			0	0		
g889	Scaffolds_10	-	1	0			0			0	0		
g3548	Scaffolds_16	+	1	0			0			0	0		
g2255	Scaffolds_14	+	1	0			0			0	0		
g3563	Scaffolds_16	+	1	0			0			0	0		
g7295	Scaffolds_21	+	1	0			0	981881	983070	1190	0		
g13117	Scaffolds_33	-	1	0			0			0	0		
g15713	Scaffolds_8	+	6	5			0	1346158	1346240	83	0	1338266	1338442
g8813	Scaffolds_23	+	1	0			0			0	0		
g7636	Scaffolds_21	-	7	6	2317736	2317815	80			0	0	2309201	2309332
g8833	Scaffolds_23	-	1	0			0			0	0		
g1432	Scaffolds_11	+	3	2			0	607895	608119	225	0	605410	605700
g4677	Scaffolds_18	+	5	4			0	1594231	1594538	308	0	1590500	1590797
g1991	Scaffolds_13	-	1	0			0			0	0		
g10524	Scaffolds_28	-	1	0			0			0	0		
g9482	Scaffolds_25	+	1	0			0	592936	593223	288	0		
g12225	Scaffolds_31	-	1	0			0			0	0		
g7624	Scaffolds_21	-	2	1			0			0	0	2262148	2262516
g7492	Scaffolds_21	+	4	3	1706295	1720579	14285			0	3	1706360	1706400
g15464	Scaffolds_8	-	1	0			0			0	0		
g11648	Scaffolds_3	+	1	0			0	626383	626517	135	0		
g7207	Scaffolds_21	-	1	0	716859	717206	348			0	0		
g15668	Scaffolds_8	-	3	2	1128080	1128226	147			0	0	1127544	1127638
g10446	Scaffolds_28	+	1	0			0			0	0		
g5555	Scaffolds_19	+	1	0			0			0	0		
g11961	Scaffolds_3	-	1	0			0			0	0		
g3511	Scaffolds_16	-	1	0			0			0	0		
g5042	Scaffolds_18	-	1	0	2855521	2856369	849			0	0		
g9838	Scaffolds_26	-	1	0			0			0	0		
g14071	Scaffolds_4	-	1	0			0			0	0		
g13297	Scaffolds_33	+	1	0			0			0	0		
g14335	Scaffolds_4	+	2	1			0	2803958	2804029	72	0	2800066	2800113
g1954	Scaffolds_13	+	2	1			0			0	0	750581	751321
g2680	Scaffolds_15	-	2	1	364255	364940	686			0	0	363235	364065
g13371	Scaffolds_33	-	2	1	2166923	2166977	55			0	0	2166306	2166890
g12082	Scaffolds_30	+	1	0			0	363486	366384	2899	0		
g4134	Scaffolds_17	-	5	4	1307140	1311007	3868			0	4	1308601	1310148
g5073	Scaffolds_18	+	5	4			0	2965103	2965188	86	0	2960282	2960442
g14315	Scaffolds_4	+	4	3			0	2710473	2710937	465	0	2707187	2707275
g7568	Scaffolds_21	-	1	0			0			0	0		
g10894	Scaffolds_29	+	1	0			0	1127616	1127727	112	0		
g10473	Scaffolds_28	+	3	2			0	522376	522450	75	0	520844	520884
g13275	Scaffolds_33	-	2	1			0			0	0	1732665	1732849
g9925	Scaffolds_26	+	1	0			0			0	0		
g11511	Scaffolds_3	-	1	0			0			0	0		
g3765	Scaffolds_16	-	1	0			0			0	0		
g2168	Scaffolds_14	+	3	2			0	354433	354632	200	0	352726	352777
g12300	Scaffolds_31	-	1	0			0			0	0		
g4030	Scaffolds_17	-	1	0	938399	938517	119			0	0		
g14494	Scaffolds_4	-	1	0			0			0	0		
g15767	Scaffolds_8	+	1	0			0			0	0		
g9551	Scaffolds_25	+	1	0			0			0	0		
g860	Scaffolds_10	+	1	0			0			0	0		
g14293	Scaffolds_4	+	3	2			0	2643758	2643834	77	0	2641840	2642208
g10761	Scaffolds_29	-	1	0			0			0	0		
g1176	Scaffolds_10	+	1	0			0	1281818	1281881	64	0		
g14105	Scaffolds_4	+	1	0			0	1965738	1966789	1052	0		
g9794	Scaffolds_26	-	1	0			0			0	0		
g11176	Scaffolds_29	+	1	0			0	2200390	2202929	2540	0		
g2161	Scaffolds_14	+	1	0			0			0	0		
g11145	Scaffolds_29	-	4	3			0			0	0	2107467	2108100
g11786	Scaffolds_3	+	1	0			0			0	0		
g13406	Scaffolds_33	-	1	0	2351463	2351485	23			0	0		
g2299	Scaffolds_14	-	1	0			0			0	0		
g4694	Scaffolds_18	+	1	0			0			0	0		
g14358	Scaffolds_4	-	1	0			0			0	0		
g8657	Scaffolds_23	-	3	2			0			0	0	1256103	1258694
g14925	Scaffolds_5	-	6	5			0			0	0	1339648	1339729
g10419	Scaffolds_28	+	1	0			0			0	0		
g12999	Scaffolds_33	+	2	1			0			0	0	728990	729074
g14599	Scaffolds_5	-	1	0			0			0	0		
g2340	Scaffolds_14	-	1	0	992598	993330	733			0	0		
g92	Scaffolds_0	-	1	0			0			0	0		
g9901	Scaffolds_26	-	2	1			0			0	0	656225	656412
g3790	Scaffolds_17	+	4	3			0	94362	94549	188	0	91965	92743
g7929	Scaffolds_22	+	1	0			0			0	0		
g4436	Scaffolds_18	-	1	0			0			0	0		
g14080	Scaffolds_4	+	1	0			0	1865239	1865299	61	0		
g5651	Scaffolds_19	-	2	1			0			0	0	1111514	1111559
g14385	Scaffolds_4	+	1	0			0			0	0		
g7618	Scaffolds_21	-	1	0			0			0	0		
g582	Scaffolds_1	-	1	0			0			0	0		
g8000	Scaffolds_22	+	3	2			0	810477	810558	82	0	803117	803302
g5076	Scaffolds_18	-	2	1			0			0	0	2987639	2987893
g5181	Scaffolds_18	-	1	0			0			0	0		
g15148	Scaffolds_6	+	6	5			0	769542	769919	378	0	767406	767465
g1957	Scaffolds_13	+	1	0			0	762535	762569	35	0		
g5212	Scaffolds_18	+	2	1			0			0	0	3598488	3599975
g2490	Scaffolds_14	-	2	1			0			0	0	1494024	1494541
g11301	Scaffolds_29	-	1	0			0			0	0		
g15334	Scaffolds_7	+	3	2			0	485481	485515	35	0	484492	484765
g3074	Scaffolds_15	+	1	0			0			0	0		
g11486	Scaffolds_3	-	2	1			0			0	0	91998	92543
g5878	Scaffolds_19	+	4	3			0	1918413	1918801	389	0	1916684	1917403
g981	Scaffolds_10	+	1	0			0			0	0		
g5484	Scaffolds_19	-	1	0	605049	605181	133			0	0		
g11105	Scaffolds_29	+	1	0			0	1953200	1953417	218	0		
g8118	Scaffolds_22	-	1	0			0			0	0		
g4648	Scaffolds_18	-	2	1			0			0	0	1468516	1468641
g1059	Scaffolds_10	+	1	0			0			0	0		
g79	Scaffolds_0	-	1	0			0			0	0		
g10831	Scaffolds_29	+	1	0			0			0	0		
g4301	Scaffolds_18	+	7	6			0	242345	242545	201	0	231090	231187
g11983	Scaffolds_3	-	1	0			0			0	0		
g9814	Scaffolds_26	+	1	0			0			0	0		
g13757	Scaffolds_4	-	3	2	607934	610265	2332			0	0	606938	607638
g6828	Scaffolds_20	+	1	0			0			0	0		
g10535	Scaffolds_28	+	1	0			0			0	0		
g6226	Scaffolds_2	-	1	0			0			0	0		
g6702	Scaffolds_20	-	1	0			0			0	0		
g2341	Scaffolds_14	+	3	2			0			0	0	997392	997547
g3157	Scaffolds_15	+	1	0			0			0	0		
g6296	Scaffolds_2	-	1	0			0			0	0		
g5592	Scaffolds_19	+	1	0			0			0	0		
g762	Scaffolds_1	+	1	0			0			0	0		
g5486	Scaffolds_19	+	1	0			0			0	0		
g3842	Scaffolds_17	+	1	0			0	274533	274653	121	0		
g6069	Scaffolds_2	+	5	4			0	142069	142320	252	0	140054	140099
g14486	Scaffolds_4	-	1	0			0			0	0		
g2016	Scaffolds_13	-	1	0			0			0	0		
g7023	Scaffolds_20	+	1	0			0			0	0		
g482	Scaffolds_1	-	1	0			0			0	0		
g3497	Scaffolds_16	-	1	0			0			0	0		
g9111	Scaffolds_24	-	6	5			0			0	0	939808	939970
g15174	Scaffolds_6	-	5	4			0			0	0	848216	848258
g6243	Scaffolds_2	+	3	2			0	730446	730519	74	0	729152	729214
g4906	Scaffolds_18	-	1	0			0			0	0		
g9443	Scaffolds_25	+	1	0			0	423634	423655	22	0		
g15446	Scaffolds_8	+	1	0			0			0	0		
g9092	Scaffolds_24	-	5	4			0			0	0	870149	870351
g2291	Scaffolds_14	-	1	0			0			0	0		
g13232	Scaffolds_33	+	1	0			0			0	0		
g1533	Scaffolds_11	+	2	1			0			0	0	996796	996842
g15438	Scaffolds_8	+	1	0			0			0	0		
g6565	Scaffolds_20	+	1	0			0			0	0		
g4398	Scaffolds_18	+	1	0			0	558209	558528	320	0		
g254	Scaffolds_0	-	1	0			0			0	0		
g2647	Scaffolds_15	+	1	0			0			0	0		
g10354	Scaffolds_27	+	1	0			0			0	0		
g8163	Scaffolds_22	+	4	3			0	1363434	1364035	602	0	1362058	1362346
g12895	Scaffolds_33	-	1	0			0			0	0		
g4865	Scaffolds_18	-	3	2			0			0	0	2276257	2277085
g5995	Scaffolds_19	-	2	1			0			0	0	2312827	2313294
g7314	Scaffolds_21	-	9	8			0	1046073	1054733	8661	0	1047788	1047846
g9836	Scaffolds_26	+	2	1			0			0	0	408331	408900
g11713	Scaffolds_3	+	1	0			0			0	0		
g1539	Scaffolds_11	+	1	0			0	1016104	1016372	269	0		
g3195	Scaffolds_15	+	2	1			0	2424005	2424485	481	0	2422761	2422994
g11396	Scaffolds_29	-	1	0	2973626	2973643	18			0	0		
g14477	Scaffolds_4	-	1	0			0			0	0		
g6727	Scaffolds_20	+	1	0			0			0	0		
g10849	Scaffolds_29	-	1	0			0			0	0		
g5900	Scaffolds_19	-	5	4	1991445	1991468	24			0	0	1989705	1989777
g9858	Scaffolds_26	+	1	0			0			0	0		
g4519	Scaffolds_18	-	1	0			0			0	0		
g6261	Scaffolds_2	-	1	0	813528	813759	232			0	0		
g12739	Scaffolds_32	-	1	0	677657	680089	2433			0	0		
g6573	Scaffolds_20	-	3	2	508987	509095	109			0	0	507516	507802
g11971	Scaffolds_3	+	4	3			0	1812584	1812796	213	0	1810967	1811107
g9939	Scaffolds_26	-	1	0			0			0	0		
g10910	Scaffolds_29	-	5	4			0			0	0	1182934	1183015
g4822	Scaffolds_18	-	4	3			0			0	0	2113719	2113893
g1540	Scaffolds_11	+	1	0			0			0	0		
g4190	Scaffolds_17	+	1	0			0	1480614	1480775	162	0		
g2938	Scaffolds_15	-	1	0			0			0	0		
g12974	Scaffolds_33	-	2	1			0			0	0	658645	658832
g5147	Scaffolds_18	+	1	0			0			0	0		
g11010	Scaffolds_29	+	1	0			0			0	0		
g11609	Scaffolds_3	-	2	1			0			0	0	497459	497965
g12151	Scaffolds_30	-	1	0	602414	602562	149			0	0		
g2001	Scaffolds_13	-	1	0			0			0	0		
g3507	Scaffolds_16	-	1	0			0			0	0		
g13209	Scaffolds_33	+	1	0			0			0	0		
g369	Scaffolds_0	+	1	0			0			0	0		
g15748	Scaffolds_8	-	1	0	1476111	1476541	431			0	0		
g11831	Scaffolds_3	-	2	1			0			0	0	1331713	1332469
g437	Scaffolds_0	-	2	1			0			0	0	1643166	1643322
g13835	Scaffolds_4	+	2	1			0			0	0	944496	945115
g12745	Scaffolds_32	-	4	3			0			0	0	703399	703561
g13166	Scaffolds_33	-	1	0			0			0	0		
g14990	Scaffolds_6	+	1	0			0			0	0		
g10075	Scaffolds_26	-	1	0			0			0	0		
g8519	Scaffolds_23	+	7	6			0	706349	706516	168	0	694951	694991
g3135	Scaffolds_15	+	1	0			0			0	0		
g9067	Scaffolds_24	-	1	0			0			0	0		
g5614	Scaffolds_19	+	1	0			0			0	0		
g4025	Scaffolds_17	+	1	0			0	926674	926952	279	0		
g6233	Scaffolds_2	-	1	0			0			0	0		
g6983	Scaffolds_20	-	1	0	2041711	2041949	239			0	0		
g10126	Scaffolds_26	-	2	1	1444748	1444880	133			0	0	1443876	1444548
g15168	Scaffolds_6	-	1	0			0			0	0		
g1827	Scaffolds_13	-	1	0			0			0	0		
g12223	Scaffolds_31	-	1	0			0			0	0		
g7367	Scaffolds_21	-	1	0	1234279	1234329	51			0	0		
g3271	Scaffolds_15	+	1	0			0			0	0		
g6228	Scaffolds_2	-	1	0			0			0	0		
g10937	Scaffolds_29	+	1	0			0	1271314	1271493	180	0		
g9412	Scaffolds_25	-	1	0			0			0	0		
g9371	Scaffolds_25	+	2	1			0			0	0	143134	143974
g998	Scaffolds_10	-	1	0			0			0	0		
g12001	Scaffolds_3	+	3	2			0			0	0	1901388	1901435
g14891	Scaffolds_5	-	1	0			0			0	0		
g11346	Scaffolds_29	+	2	1			0			0	0	2798797	2799431
g16083	Scaffolds_9	-	1	0			0			0	0		
g11471	Scaffolds_3	+	2	1			0			0	0	44702	45393
g10172	Scaffolds_26	-	1	0			0			0	0		
g3551	Scaffolds_16	+	1	0			0			0	0		
g13648	Scaffolds_4	-	1	0			0			0	0		
g1104	Scaffolds_10	-	2	1	1017543	1017592	50			0	0	1017429	1017511
g6873	Scaffolds_20	+	1	0			0			0	0		
g5215	Scaffolds_18	-	1	0			0			0	0		
g6505	Scaffolds_20	-	2	1	288225	288522	298			0	0	273361	273405
g11716	Scaffolds_3	-	1	0			0			0	0		
g9080	Scaffolds_24	+	1	0			0			0	0		
g603	Scaffolds_1	+	1	0			0			0	0		
g12839	Scaffolds_33	+	3	2			0			0	0	117951	118224
g1009	Scaffolds_10	+	1	0			0			0	0		
g5496	Scaffolds_19	-	1	0			0			0	0		
g15355	Scaffolds_7	+	1	0			0			0	0		
g4150	Scaffolds_17	+	3	2			0			0	0	1361682	1362357
g6890	Scaffolds_20	-	1	0			0			0	0		
g11072	Scaffolds_29	+	2	1			0	1796960	1798507	1548	0	1794144	1794404
g7587	Scaffolds_21	-	1	0			0			0	0		
g5991	Scaffolds_19	+	1	0			0			0	0		
g11001	Scaffolds_29	+	1	0			0			0	0		
g8175	Scaffolds_22	+	5	4			0	1410141	1410499	359	0	1404974	1405093
g5724	Scaffolds_19	+	4	3			0	1410191	1410350	160	0	1397116	1397164
g2412	Scaffolds_14	+	1	0			0			0	0		
g15461	Scaffolds_8	+	1	0			0			0	0		
g7470	Scaffolds_21	+	4	3			0	1612665	1613229	565	0	1610804	1610853
g14215	Scaffolds_4	-	5	4			0			0	0	2353679	2353722
g9662	Scaffolds_25	+	3	2			0	1231086	1231267	182	0	1229392	1229469
g11216	Scaffolds_29	+	1	0			0	2342962	2343200	239	0		
g613	Scaffolds_1	-	1	0			0			0	0		
g10493	Scaffolds_28	-	1	0	605254	605294	41			0	0		
g12465	Scaffolds_31	+	1	0			0			0	0		
g14228	Scaffolds_4	+	1	0			0			0	0		
g12772	Scaffolds_32	+	1	0			0			0	0		
g61	Scaffolds_0	-	3	2	303772	304030	259			0	0	301948	302062
g8486	Scaffolds_23	+	3	2			0	565716	565902	187	0	564875	565174
g8390	Scaffolds_23	-	1	0			0			0	0		
g2763	Scaffolds_15	-	2	1	614881	615248	368			0	0	614020	614747
g7354	Scaffolds_21	-	3	2			0			0	0	1176299	1176359
g13496	Scaffolds_33	+	1	0			0			0	0		
g12816	Scaffolds_32	-	1	0			0			0	0		
g3309	Scaffolds_15	+	3	2			0	2812750	2812882	133	0	2811291	2811509
g15156	Scaffolds_6	-	1	0			0			0	0		
g6212	Scaffolds_2	+	1	0			0			0	0		
g9865	Scaffolds_26	-	1	0			0			0	0		
g1805	Scaffolds_13	-	1	0			0			0	0		
g7144	Scaffolds_21	-	1	0	440353	440362	10			0	0		
g1189	Scaffolds_10	+	1	0			0			0	0		
g8811	Scaffolds_23	-	1	0			0			0	0		
g7157	Scaffolds_21	+	2	1			0	517431	517497	67	0	517275	517381
g394	Scaffolds_0	+	5	4			0			0	0	1501817	1501884
g3961	Scaffolds_17	-	3	2			0			0	0	694286	694530
g12611	Scaffolds_32	+	4	3			0	285225	285882	658	0	283673	283764
g7698	Scaffolds_21	-	2	1	2584419	2584732	314			0	0	2582634	2582680
g11601	Scaffolds_3	+	2	1			0	478117	478436	320	0	477128	477197
g14507	Scaffolds_4	-	1	0			0			0	0		
g10017	Scaffolds_26	-	2	1			0			0	0	1110104	1110520
g2732	Scaffolds_15	-	1	0			0			0	0		
g10941	Scaffolds_29	+	1	0			0			0	0		
g6834	Scaffolds_20	-	1	0			0			0	0		
g10401	Scaffolds_28	-	2	1			0			0	0	216946	217259
g6294	Scaffolds_2	-	1	0			0			0	0		
g4667	Scaffolds_18	-	2	1			0			0	0	1536921	1537117
g1126	Scaffolds_10	-	1	0			0			0	0		
g7910	Scaffolds_22	+	3	2			0	519788	519945	158	0	512452	512528
g13226	Scaffolds_33	-	3	2			0			0	0	1560725	1560835
g10219	Scaffolds_26	+	1	0			0			0	0		
g4617	Scaffolds_18	+	1	0			0			0	0		
g12513	Scaffolds_31	-	1	0			0			0	0		
g11409	Scaffolds_29	+	1	0			0			0	0		
g6118	Scaffolds_2	+	1	0			0			0	0		
g12232	Scaffolds_31	+	1	0			0			0	0		
g3989	Scaffolds_17	-	2	1			0			0	0	790404	790645
g10658	Scaffolds_29	+	1	0			0	209366	209613	248	0		
g1370	Scaffolds_11	-	1	0			0			0	0		
g643	Scaffolds_1	-	1	0	630352	630427	76			0	0		
g13760	Scaffolds_4	-	1	0			0			0	0		
g8939	Scaffolds_24	-	1	0			0			0	0		
g9420	Scaffolds_25	+	1	0			0			0	0		
g13308	Scaffolds_33	-	2	1	1900428	1900487	60			0	0	1899076	1899233
g8602	Scaffolds_23	-	1	0			0			0	0		
g6801	Scaffolds_20	+	7	6			0	1395437	1396177	741	0	1391434	1391486
g9845	Scaffolds_26	-	1	0			0			0	0		
g8499	Scaffolds_23	+	1	0			0			0	0		
g9870	Scaffolds_26	+	4	3			0	531580	531957	378	0	528723	528766
g5125	Scaffolds_18	-	1	0	3184094	3184503	410			0	0		
g5448	Scaffolds_19	+	5	4			0	481546	482214	669	0	478425	478756
g8553	Scaffolds_23	-	2	1	845487	845526	40			0	0	845131	845359
g11206	Scaffolds_29	+	1	0			0			0	0		
g14844	Scaffolds_5	+	1	0			0			0	0		
g14870	Scaffolds_5	+	2	1			0	1139945	1140560	616	0	1128194	1128395
g13147	Scaffolds_33	+	1	0			0			0	0		
g3617	Scaffolds_16	+	1	0			0			0	0		
g14984	Scaffolds_6	+	1	0			0			0	0		
g9868	Scaffolds_26	+	2	1			0	520948	521774	827	0	519524	519593
g6164	Scaffolds_2	+	1	0			0	477989	478267	279	0		
g15233	Scaffolds_7	+	1	0			0	128984	129165	182	0		
g6699	Scaffolds_20	+	1	0			0			0	0		
g5979	Scaffolds_19	+	1	0			0			0	0		
g1484	Scaffolds_11	+	3	2			0	793943	794361	419	0	792887	793294
g11838	Scaffolds_3	+	1	0			0			0	0		
g5144	Scaffolds_18	-	1	0	3303834	3304280	447			0	0		
g1603	Scaffolds_11	+	3	2			0	1230787	1230943	157	0	1228340	1228525
g144	Scaffolds_0	+	3	2			0	622418	622704	287	0	610313	610489
g8570	Scaffolds_23	+	2	1			0			0	0	932882	933066
g12251	Scaffolds_31	-	1	0			0			0	0		
g773	Scaffolds_1	+	2	1			0			0	0	1108400	1109234
g6870	Scaffolds_20	+	1	0			0			0	0		
g14666	Scaffolds_5	+	2	1			0			0	0	303533	303581
g3495	Scaffolds_16	+	2	1			0	526341	526432	92	0	526091	526214
g2656	Scaffolds_15	-	6	5			0			0	0	296417	296523
g6495	Scaffolds_20	-	1	0			0			0	0		
g3456	Scaffolds_16	-	1	0			0			0	0		
g15238	Scaffolds_7	+	5	4			0	140700	140779	80	0	138841	138915
g9942	Scaffolds_26	-	1	0			0			0	0		
g4493	Scaffolds_18	-	1	0	928891	929116	226			0	0		
g4266	Scaffolds_18	+	1	0			0			0	0		
g14111	Scaffolds_4	+	1	0			0			0	0		
g9932	Scaffolds_26	+	1	0			0			0	0		
g3948	Scaffolds_17	-	1	0			0			0	0		
g14013	Scaffolds_4	+	1	0			0	1586551	1586944	394	0		
g14032	Scaffolds_4	+	1	0			0			0	0		
g10558	Scaffolds_28	-	1	0			0			0	0		
g6023	Scaffolds_19	-	1	0			0			0	0		
g6138	Scaffolds_2	+	1	0			0			0	0		
g2492	Scaffolds_14	-	2	1			0			0	0	1497252	1497533
g14794	Scaffolds_5	-	1	0			0			0	0		
g10275	Scaffolds_26	+	1	0			0			0	0		
g44	Scaffolds_0	+	1	0			0			0	0		
g15176	Scaffolds_6	+	2	1			0	871090	873649	2560	0	860469	860621
g9842	Scaffolds_26	+	1	0			0			0	0		
g10650	Scaffolds_29	+	1	0			0			0	0		
g10305	Scaffolds_27	-	1	0			0			0	0		
g13726	Scaffolds_4	-	5	4			0			0	0	496015	496073
g11406	Scaffolds_29	+	1	0			0	3004784	3005805	1022	0		
g4427	Scaffolds_18	+	1	0			0			0	0		
g7501	Scaffolds_21	-	1	0			0			0	0		
g9948	Scaffolds_26	-	1	0			0			0	0		
g2469	Scaffolds_14	+	1	0			0			0	0		
g14518	Scaffolds_4	-	1	0			0			0	0		
g8563	Scaffolds_23	-	2	1			0			0	0	874723	874835
g9322	Scaffolds_24	+	3	2			0	1861126	1861695	570	0	1858278	1860022
g10751	Scaffolds_29	-	1	0			0			0	0		
g15814	Scaffolds_8	-	1	0	1696639	1696785	147			0	0		
g15408	Scaffolds_8	+	1	0			0			0	0		
g5645	Scaffolds_19	-	2	1			0			0	0	1092317	1092405
g6327	Scaffolds_2	-	1	0			0			0	0		
g11047	Scaffolds_29	-	1	0			0			0	0		
g2959	Scaffolds_15	+	2	1			0	1494053	1495346	1294	0	1482632	1482872
g13158	Scaffolds_33	+	1	0			0			0	0		
g3332	Scaffolds_15	-	1	0			0			0	0		
g250	Scaffolds_0	+	3	2			0	1030813	1031242	430	0	1028703	1029330
g13539	Scaffolds_33	-	1	0	2845409	2845542	134			0	0		
g4870	Scaffolds_18	+	1	0			0			0	0		
g14261	Scaffolds_4	+	1	0			0			0	0		
g2382	Scaffolds_14	+	1	0			0			0	0		
g7564	Scaffolds_21	+	4	3			0	2010541	2011036	496	0	2006404	2006486
g4491	Scaffolds_18	+	2	1			0			0	0	923360	923851
g2262	Scaffolds_14	-	1	0			0			0	0		
g14374	Scaffolds_4	+	1	0			0			0	0		
g6366	Scaffolds_2	+	4	3			0	1277406	1277543	138	0	1273814	1274141
g9784	Scaffolds_26	-	1	0			0			0	0		
g15604	Scaffolds_8	+	1	0			0			0	0		
g9824	Scaffolds_26	+	3	2			0	374410	374619	210	0	374012	374066
g4647	Scaffolds_18	+	1	0			0			0	0		
g11782	Scaffolds_3	-	1	0			0			0	0		
g14909	Scaffolds_5	+	4	3			0	1265240	1265644	405	0	1261863	1261982
g4888	Scaffolds_18	+	1	0			0			0	0		
g1682	Scaffolds_11	-	4	3			0			0	0	1553789	1554166
g60	Scaffolds_0	-	3	2			0			0	0	298057	298153
g10555	Scaffolds_28	+	1	0			0			0	0		
g15638	Scaffolds_8	-	1	0			0			0	0		
g7109	Scaffolds_21	+	1	0			0			0	0		
g10989	Scaffolds_29	-	1	0			0			0	0		
g4540	Scaffolds_18	-	1	0	1104044	1104128	85			0	0		
g14422	Scaffolds_4	-	1	0			0			0	0		
g8832	Scaffolds_23	+	2	1			0			0	0	1974870	1975407
g10900	Scaffolds_29	-	3	2			0			0	0	1148032	1148080
g16080	Scaffolds_9	+	3	2			0			0	0	855647	856080
g9673	Scaffolds_25	+	1	0			0			0	0		
g4304	Scaffolds_18	+	1	0			0	253850	253978	129	0		
g3421	Scaffolds_16	-	3	2			0			0	0	296934	296992
g4112	Scaffolds_17	-	1	0			0			0	0		
g12271	Scaffolds_31	+	1	0			0			0	0		
g6384	Scaffolds_2	+	1	0			0			0	0		
g15463	Scaffolds_8	+	1	0			0			0	0		
g11970	Scaffolds_3	+	1	0			0			0	0		
g13342	Scaffolds_33	-	1	0			0			0	0		
g5930	Scaffolds_19	+	1	0			0			0	0		
g3024	Scaffolds_15	+	3	2			0	1737143	1737326	184	0	1735275	1735871
g2620	Scaffolds_15	-	3	2			0			0	0	179203	179252
g7397	Scaffolds_21	+	1	0	1333367	1338427	5061	1339658	1339788	131	0		
g13373	Scaffolds_33	+	6	5			0	2170741	2170793	53	0	2168308	2168409
g1931	Scaffolds_13	+	1	0			0			0	0		
g14438	Scaffolds_4	+	1	0			0			0	0		
g15531	Scaffolds_8	+	1	0			0			0	0		
g8477	Scaffolds_23	+	3	2			0	529393	529829	437	0	525479	525539
g15645	Scaffolds_8	-	1	0			0			0	0		
g4169	Scaffolds_17	-	2	1	1421772	1421997	226			0	0	1421479	1421698
g1318	Scaffolds_11	-	4	3			0			0	0	148737	149145
g1893	Scaffolds_13	-	1	0			0			0	0		
g13745	Scaffolds_4	-	1	0	568221	568418	198			0	0		
g5175	Scaffolds_18	-	2	1			0			0	0	3470300	3470656
g11463	Scaffolds_3	+	1	0			0			0	0		
g12969	Scaffolds_33	+	4	3			0			0	0	633257	634217
g14131	Scaffolds_4	-	1	0	2044374	2044494	121			0	0		
g5048	Scaffolds_18	-	1	0			0			0	0		
g3559	Scaffolds_16	+	4	3			0	744410	744584	175	0	740875	740957
g15653	Scaffolds_8	-	3	2			0			0	0	1046550	1046853
g12883	Scaffolds_33	+	1	0			0			0	0		
g8613	Scaffolds_23	+	1	0			0			0	0		
g2154	Scaffolds_14	+	3	2			0	313326	314200	875	0	312413	312907
g12019	Scaffolds_30	+	1	0			0			0	0		
g7598	Scaffolds_21	-	1	0			0			0	0		
g11811	Scaffolds_3	-	2	1			0			0	0	1225201	1225266
g15809	Scaffolds_8	+	1	0			0			0	0		
g1863	Scaffolds_13	+	3	2			0	394459	395028	570	0	393849	394146
g973	Scaffolds_10	-	1	0			0			0	0		
g9829	Scaffolds_26	-	4	3			0			0	0	389327	389778
g5065	Scaffolds_18	+	1	0			0			0	0		
g12777	Scaffolds_32	+	1	0			0			0	0		
g10496	Scaffolds_28	+	1	0			0			0	0		
g10945	Scaffolds_29	-	2	1			0			0	0	1297072	1297459
g211	Scaffolds_0	-	1	0	876265	876696	432			0	0		
g1070	Scaffolds_10	+	1	0			0	895675	895790	116	0		
g7528	Scaffolds_21	+	2	1			0	1869252	1869331	80	0	1862638	1862691
g4206	Scaffolds_17	-	1	0			0			0	0		
g1561	Scaffolds_11	+	2	1			0	1096769	1096869	101	0	1094506	1094603
g13917	Scaffolds_4	+	5	4			0	1273907	1274040	134	0	1267316	1267623
g11227	Scaffolds_29	+	2	1			0	2376814	2376897	84	0	2376596	2376659
g11337	Scaffolds_29	+	1	0			0			0	0		
g14300	Scaffolds_4	+	1	0			0			0	0		
g7193	Scaffolds_21	+	1	0			0			0	0		
g13537	Scaffolds_33	-	2	1	2841942	2842325	384			0	0	2840318	2840681
g12901	Scaffolds_33	-	1	0			0			0	0		
g5186	Scaffolds_18	+	3	2			0	3501295	3502649	1355	0	3498134	3498211
g291	Scaffolds_0	+	1	0			0			0	0		
g5859	Scaffolds_19	+	2	1			0			0	0	1861372	1861572
g2666	Scaffolds_15	+	1	0			0			0	0		
g2311	Scaffolds_14	-	1	0			0			0	0		
g11707	Scaffolds_3	-	1	0			0			0	0		
g691	Scaffolds_1	+	1	0			0			0	0		
g1333	Scaffolds_11	+	2	1			0	194122	197975	3854	0	192736	192828
g15279	Scaffolds_7	-	1	0	285567	285616	50			0	0		
g8837	Scaffolds_23	+	1	0			0			0	0		
g11891	Scaffolds_3	+	1	0			0			0	0		
g12929	Scaffolds_33	+	4	3			0	415107	415135	29	0	413840	414368
g10500	Scaffolds_28	-	1	0			0			0	0		
g4117	Scaffolds_17	+	1	0			0			0	0		
g14784	Scaffolds_5	-	1	0			0			0	0		
